SI NO,Functionality,Title,Step Description
AS_1,Agent Browse and Search,Ext Agent_No contracts_Error,Agent does not have contracts should show error in Customer Accounts page. 
AS_10,Agent Browse and Search,Int Agent_Seach page_Name Search_Trust and Custodials,Verify that agent can search its Trust and Custodials contracts using first name and last name.
AS_11,Agent Browse and Search,Int Agent_each page_SSN Search,Verify that agent can search any contracts using owner SSN
AS_12,Agent Browse and Search,Int Agent_each page_SSN Search_Trust and Custodials,Verify that agent can search its Trust and Custodials contracts using owner SSN
AS_13,Agent Browse and Search,Int Agent_search page_Contract_Account_No_Search,Verify that agent get no search reasult for wrong search options.
AS_14,Agent Browse and Search,Int Agent_search page_Breadcrumb,Verify that agent gets Breadcrumb search page.
AS_15,Agent Browse and Search,Ext BD_No contracts_Error,BD search should show error for not matching criteria
AS_16,Agent Browse and Search,Ext BD_Validate search options for agent ,BD selects Customer Accounts and select Financial advisor button. Which Allows seach contrct using following methods:
AS_17,Agent Browse and Search,Ext BD_Customer search text ,BD selects Customer Accounts and select Customer button. Which Allows seach contract using following methods:
AS_18,Agent Browse and Search,Int BD_Seach page_Name Search,BD cshould be able to search a valid agent by first Name and Last name
AS_19,Agent Browse and Search,Int BD_Seach page_Name Search_Trust and Custodials,Verify that BD should be able to search Trust or Custodials contract using Last name.
AS_2,Agent Browse and Search,Ext Agent_Validate search options for agent ,Agent selects Customer Accounts and select Search button. Which Allows search contract using following methods:
AS_20,Agent Browse and Search,Int BD_each page_SSN Search,Verify that BD should be able to seach a Fianacial advisor or Customer using SSN.
AS_21,Agent Browse and Search,Ext BD_search page_Breadcrumb,Verify that Breadcrumb
AS_22,Agent Browse and Search,INT BD_Garwin_Regression test search works using both FA and Customer_QA,"Int BD_Garwin_Regression test search works using both FA and Customer for Garwin contracts with heirarchy (SPIA, Quest, PA)"
AS_23,Agent Browse and Search,INT BD_LifeCAD_Regression test search works using both FA and Customer_QA,Int BD_Garwin_Regression test search works using both FA and Customer for LifeCAD contracts with heirarchy.
AS_24,Agent Browse and Search,Int Agent_Garwin_SP_Regression test search works using both FA and Customer,Int Agent_Garwin_SP_Regression test search works using both FA and Customer on SPIA contract
AS_25,Agent Browse and Search,Int Agent_Garwin_PA_Regression test search works using both FA and Customer,Int Agent_Garwin_PA_Regression test search works using both FA and Customer on Preferred Advantage.
AS_26,Agent Browse and Search,Int BD search by contract ID for Legacy contract,"Verify that BD can search for agent or customers using all options (agent SSN, First name and Last name, customer SSN, First name and Last name)"
AS_27,Account Summary,TC27_Verify Total contribution in the Account summary page for a PAVA contract through External Customer login.,Verify Total contribution in the Account summary page for a PAVA contract through External Customer login.
AS_28,Account Summary,TC28_Verify manage investment option are present are present under allocation tab in the Account summary page for a PAVA contract through CSR.,Verify manage investment option are present are present under allocation tab in the Account summary page for a PAVA contract through CSR.
AS_29,Account Summary,TC29_Verify manage investment option are present are present under allocation tab in the Account summary page for a PAVA contract through External Customer login,Verify manage investment option are present are present under allocation tab in the Account summary page for a PAVA contract through External Customer login.
AS_3,Agent Browse and Search,Ext Agent_Seach page_Name Search_Trust and Custodial,Verify that agent can search its Trust and Custodial contracts using first name and last name.
AS_30,Account Summary,TC30_Ext_Cust_Account_Summary_verify link to check fund performance is present_PAVA,Verify link to check fund performance is present in the Account summary page for a PAVA contract 
AS_31,Account Summary,TC31_Ext_Cust_Account_Summary_verify link for share prices is present_PAVA,Verify link for share prices is present in the Account summary page for a PAVA contract 
AS_32,Account Summary,TC32_Verify discloure and mailing address is per the LOB for different Garwin Contracts.,Verify discloure and mailing address is per the LOB for different Garwin Contracts.
AS_33,Account Summary,"TC33_Ext_Cust_Account_Summary_verify ""view rate of return link"" is present under additional account option tab _PAVA","Verify ""view rate of return link"" is present under additional account option tab for a PAVA contract"
AS_34,Account Summary,TC34_Ext_Cust_Account_Summary_label_header_Lifecad,Verify Label header of the Account summary page for a Lifecad reg contract.
AS_35,Account Summary,TC35_Verify a  Registered Lifecad contract with Indexed Withdrawal Benefit - Single,Verify a  Registered Lifecad contract with Indexed Withdrawal Benefit - Single
AS_36,Account Summary,TC36_Ext_Cust_Account_Summary_verify as of date_Lifecad,Verify As of date in Account Summary page for a Lifecad contract.
AS_37,Account Summary,TC37_Ext_Cust_Account_Summary_verify current total_Lifecad reg,Verify Current Total in Account Summary page for a Lifecad reg contract.
AS_38,Account Summary,TC38_Ext_Cust_Account_Summary_verify current total_Lifecad non-reg,Verify Current Total in Account Summary page for a Lifecad non-reg contract.
AS_39,Account Summary,TC39_Verify Personal rate of return in the Account summary page for a Lifecad contract on which ROR is appicable .,Verify Personal rate of return in the Account summary page for a Lifecad contract on which ROR is appicable .
AS_4,Agent Browse and Search,Ext Agent_each page_SSN Search,Verify that agent can search any contracts using owner SSN
AS_40,Account Summary,TC40_Verify discloure and mailing address is per the LOB for different LC Contracts.,Verify discloure and mailing address is per the LOB for different LC Contracts.
AS_41,Account Summary,TC41_Ext_Cust_Account_Summary_verify Total contribution_Lifecad Reg,Verify Total contribution in the Account summary page for a Lifecad reg contract through CSR.
AS_42,Account Summary,TC42_Ext_Cust_Account_Summary_verify Total contribution_Lifecad Non Reg,Verify Total contribution in the Account summary page for a Lifecad non-reg contract through CSR.
AS_43,Account Summary,TC43_Verify the Select another account dropdown for multi account owners lists all the accounts,Verify the Select another account dropdown for multi account owners lists all the accounts
AS_44,Account Summary,TC44_Verify the funds/strategies percentages add up to 100 % in Investment/Stratgies and pie chart sections (Aloocation/Election),Verify the funds/strategies percentages add up to 100 % in Investment/Stratgies and pie chart sections (Aloocation/Election)
AS_45,Account Summary,TC45_Verify that the additional option section is available only for ZA product - test the diff fields within this section,Verify that the additional option section is available only for ZA product - test the diff fields within this section
AS_46,Account Summary,"TC46_Regression test Account Summary for different product types - garwin variable, garwin fixed, ZS, ZA, EA, QA and LifeCAD indexed and LifeCAD non-indexed","Regression test Account Summary for different product types - garwin variable, garwin fixed, ZS, ZA, EA, QA and LifeCAD indexed and LifeCAD non-indexed"
AS_5,Agent Browse and Search,Ext Agent_each page_SSN Search_Trust and Custodial,Verify that agent can search its Trust and Custodial contracts using owner SSN
AS_6,Agent Browse and Search,Ext Agent_search page_Contract_Account_No_Search,Verify that agent get no search reasult for wrong search options.
AS_7,Agent Browse and Search,Ext Agent_search page_Breadcrumb,Verify that agent gets Breadcrumb search page.
AS_8,Agent Browse and Search,Int Agent_No contracts_Error,Agent does not have contracts should show error in Customer Accounts page. 
AS_9,Agent Browse and Search,Int Agent_Validate search options for agent ,Agent selects Customer Accounts and select Search button. Which Allows seach contrct using following methods:
BOB_1,BOB,TC01_BOB_Finding some active contracts.,Find some active contracts.
BOB_10,BOB,TC10_Send the datamart files for load through ETL Hub and Mart,Send the datamart files for load through ETL Hub and Mart
BOB_11,BOB,TC11_Validate BOB reports_ Assets Under Management_Agent,Verify Agent Assets Under Management report.
BOB_12,BOB,TC12_Validate BOB reports_ Contract Information_Agent,Verify Agent Contract Information report.
BOB_13,BOB,TC13_Validate Surrender Report_Free Look transaction,Verify the surrender report while fetching the report for Free Look transaction
BOB_14,BOB,TC14_Validate BOB reports_ Client Information_Agent,Verify Agent Client Information report.
BOB_15,BOB,TC15_Validate BOB reports_ Investment Breakdown_Agent,Verify Agent Investment Breakdown report.
BOB_16,BOB,TC16_Validate BOB reports_ Surrender Report_Agent,Verify Agent Surrender report.
BOB_17,BOB,TC17_Validate BOB reports_ Assets Under Management_BD,Verify BD Assets Under Management report.
BOB_18,BOB,TC18_Validate BOB reports_ Client Information_BD,Verify BD Client Information report.
BOB_19,BOB,TC19_Validate BOB reports_ RMD_BD,Verify BD RMD report.
BOB_2,BOB,TC02_BOB_Performing Financial transaction on identified contracts,Perform Financial transaction on identified contracts
BOB_20,BOB,TC20_Validate BOB reports_ Upcoming Anniversary,Verify BD Upcoming Anniversary report.
BOB_21,BOB,TC21_Validate BOB reports_ Contract Information,Verify BD Contract Information report.
BOB_22,BOB,TC22_VValidate BOB reports_ Investment Breakdown,Verify BD Investment Breakdown report.
BOB_23,BOB,TC23_Validate BOB reports_ Surrender Report,Verify BD Surrender report.
BOB_24,BOB,TC24_Verify reports for all the products.,Verify reports for all the products.
BOB_25,BOB,TC25_Verify reports for all the time periods.,Verify reports for all the time periods.
BOB_26,BOB,"TC26_Verify if both PDF and Excel are getting generated, downloaded and saved successfully.","Verify if both PDF and Excel are getting generated, downloaded and saved successfully."
BOB_27,BOB,TC27_Verify the reports formating is as expected.,Verify the reports formating is as expected.
BOB_28,BOB,TC28_Verify if the Reports generation is working fine across the browser.,Verify if the Reports generation is working fine across the browser.
BOB_29,BOB,TC29_Verify all the reports with large volume Agent and BDs.,Verify all the reports with large volume Agent and BDs. User should not get any 504 gateway timeout error.
BOB_3,BOB,"TC03_BOB_Doing some kind of owner change for eg., an address update or DOB change",Perform some changes in Owner's details.
BOB_4,BOB,TC04_BOB_Running valuation jobs to generate the datamart files.,Run valuation jobs to generate the datamart files.
BOB_5,BOB,TC05_Verify if the datamart extracts are generated,Verify if the datamart extracts are generated
BOB_6,BOB,TC06_Verify cycle date is correct on all dat files.,Verify cycle date is correct on all dat files.
BOB_7,BOB,TC07_Verify our test agents are present on the respective files.,Verify our test agents are present on the respective files.
BOB_8,BOB,TC08_Verify our test BDs are present on the respective files.,Verify our test BDs are present on the respective files.
BOB_9,BOB,TC09_Verify that all the Contracts do appear in the DataMart files .,Verify that all the Contracts do appear in the DataMart files .
CN_1,Contracting,TC01_portal_Agent_contracting card_profile info present,verify Agent profile information should be present in Contracting card
CN_10,Contracting,TC010_portal_BD_contracting card_profile info present_fields have no data in garwin/Lifecad_show blank,for BD contracting fields should be blank if no data is present in garwin or lifecad
CN_11,Contracting,TC011_portal_BD_contracting card_profile info present_resident address and resident phone fields show blank,"for BD, contracting field resident address and resident phone should be blank if no data is present in garwin or lifecad"
CN_12,Contracting,TC012_portal_Agent_contracting card_profile info present_verify contracting forms are opening,agent should be able to open contracting forms
CN_13,Contracting,TC013_portal_BD_contracting card_profile info present_verify contracting forms are opening,BD should be able to open contracting forms
CN_14,Contracting,TC014_portal_Agent's delegate_contracting card_profile info present_verify contracting forms are opening,agent's deleagte should be able to open contrcating forms
CN_15,Contracting,TC015_portal_BD's delegate_contracting card_profile info present_verify contracting forms are opening,BD's deleagte should be able to open contrcating forms
CN_16,Contracting,"TC016_portal_agent's delegate_contracting card_profile info present_verify if BD relation is there, Brokerdealer relation field will come",agent's delegate should not be able to view broker dealer relationship field if active BD relation is present in Lifecad/Garwin
CN_17,Contracting,"TC017_portal_agent's delegate_contracting card_profile info present_verify if no active BD relation is there, Brokerdealer relation field will not come",agent's delegate should not be able to view broker dealer relationship field if active BD relation is present in Lifecad/Garwin
CN_18,Contracting,"TC016_portal_agent_contracting card_profile info present_verify if BD relation is there, Brokerdealer relation field will come",agent should not be able to view broker dealer relationship field if active BD relation is present in Lifecad/Garwin
CN_19,Contracting,"TC017_portal_agent_contracting card_profile info present_verify if no active BD relation is there, Brokerdealer relation field will not come",agent should not be able to view broker dealer relationship field if active BD relation is present in Lifecad/Garwin
CN_2,Contracting,TC02_portal_Agent's delegate_Act as agent_contracting card_profile info present,verify  delgate act as Agent profile information should present in Contracting card
CN_20,Contracting,TC018_portal_BD_contracting card_profile info present_verify no Brokerdealer relation field is  coming,BD should not be able to view broker dealer relationship field 
CN_21,Contracting,TC019_portal_NMO_contracting card_profile info present_verify no Brokerdealer relation field is  coming,NMO should not be able to view broker dealer relationship field 
CN_22,Contracting,TC020_portal_Agent_contracting card_profile info present_verify changes made in lifecad reflect in contracting page,"for agent any changes(like email,phone change) made in Lifecad for contracting should be reflected in web "
CN_23,Contracting,TC021_portal_BD_contracting card_profile info present_verify changes made in lifecad reflect in contracting page,"for BD any changes(like email,phone change) made in Lifecad for contracting should be reflected in web "
CN_24,Contracting,TC022_portal_Agent's delegate_contracting card_profile info present_verify changes made in lifecad reflect in contracting page,"for agent's delegate any changes(like email,phone change) made in Lifecad for contracting should be reflected in web "
CN_25,Contracting,TC023_portal_BD's delegate_contracting card_profile info present_verify changes made in lifecad reflect in contracting page,"for BD's delegate any changes(like email,phone change) made in Lifecad for contracting should be reflected in web "
CN_26,Contracting,TC015_portal_BD's delegate_contracting card_profile info present_verify contracting forms are opening,BD's deleagte should be able to open contrcating forms
CN_27,Contracting,TC021_portal_BD_contracting card_profile info present_verify changes made in lifecad reflect in contracting page,"for BD any changes(like email,phone change) made in Lifecad for contracting should be reflected in web "
CN_28,Contracting,TC015_portal_BD's delegate_contracting card_profile info present_verify contracting forms are opening,BD's deleagte should be able to open contrcating forms
CN_29,Contracting,TC020_portal_Agent_contracting card_profile info present_verify changes made in lifecad reflect in contracting page,"for agent any changes(like email,phone change) made in Lifecad for contracting should be reflected in web "
CN_3,Contracting,TC03_portal_BD_contracting card_profile info present,verify BD profile information should be present in Contracting card
CN_4,Contracting,TC04_portal_BD's delegate_Act as BD_contracting card_profile info present,verify  delgate act as BD profile information should present in Contracting card
CN_5,Contracting,TC05_portal_Agent_contracting card_profile info present_match with garwin/Lifecad system,Agent contracting information should match with garwin/Lifecad system
CN_6,Contracting,TC06_portal_Agent's delegate_Act as agent_contracting card_profile info present_match with garwin/Lifecad system,contracting Info for delegate acting as agent  should match with garwin/Lifecad system
CN_7,Contracting,TC07_portal_BD_contracting card_profile info present_match with garwin/Lifecad system,BD contracting info should match with garwin/Lifecad system
CN_8,Contracting,TC08_portal_BD's delegate_Act as BD_contracting card_profile info present_match with garwin/Lifecad system,contracting Info for delegate acting as BD  should match with garwin/Lifecad system
CN_9,Contracting,TC09_portal_Agent_contracting card_profile info present_fields have no data in garwin/Lifecad_show blank,for Agent contracting fields should be blank if no data is present in garwin or lifecad
DC_1,Footer message,To verify footer message in Account Summary page is present which is venerable owned and serviced by venerable_Fixed Annuity products_VIAC legal entity type_MIS Code_0T_GG_RP_FX_FF_SI,"""Annuities issued by Venerable Insurance and Annuity Company “VIAC” (Des Moines, IA).  VIAC registered products distributed by Directed Services LLC."" disclosure should be displayed at the end of the page."
DC_10,Footer message,To verify footer message in PF page of Transaction History is present which is venerable owned and serviced by venerable_Fixed Annuity products_VIAC legal entity type_MIS Code_0T_GG_RP_FX_FF_SI,"""Annuities issued by Venerable Insurance and Annuity Company “VIAC” (Des Moines, IA).  VIAC registered products distributed by Directed Services LLC."" disclosure should be displayed at the end of the page."
DC_11,Footer message,To verify footer message in PF page of Additional Payments is present which is venerable owned and serviced by venerable_Fixed Annuity products_VIAC legal entity type_MIS Code_0T_GG_RP_FX_FF_SI,"""Annuities issued by Venerable Insurance and Annuity Company “VIAC” (Des Moines, IA).  VIAC registered products distributed by Directed Services LLC."" disclosure should be displayed at the end of the page."
DC_12,Footer message,To verify footer message in PF page of Web History is present which is venerable owned and serviced by venerable_Fixed Annuity products_VIAC legal entity type_MIS Code_0T_GG_RP_FX_FF_SI,"""Annuities issued by Venerable Insurance and Annuity Company “VIAC” (Des Moines, IA).  VIAC registered products distributed by Directed Services LLC."" disclosure should be displayed at the end of the page."
DC_13,Footer message,To verify footer message in PF page of Withdrawals is present which is venerable owned and serviced by venerable_Fixed Annuity products_VIAC legal entity type_MIS Code_0T_GG_RP_FX_FF_SI,"""Annuities issued by Venerable Insurance and Annuity Company “VIAC” (Des Moines, IA).  VIAC registered products distributed by Directed Services LLC."" disclosure should be displayed at the end of the page."
DC_14,Footer message,To verify footer message in PF page of Daily Prices is present which is venerable owned and serviced by venerable_Fixed Annuity products_VIAC legal entity type_MIS Code_0T_GG_RP_FX_FF_SI,"""Annuities issued by Venerable Insurance and Annuity Company “VIAC” (Des Moines, IA).  VIAC registered products distributed by Directed Services LLC."" disclosure should be displayed at the end of the page."
DC_15,Footer message,To verify footer message in PF page of Statements is present which is venerable owned and serviced by venerable_Fixed Annuity products_VIAC legal entity type_MIS Code_0T_GG_RP_FX_FF_SI,"""Annuities issued by Venerable Insurance and Annuity Company “VIAC” (Des Moines, IA).  VIAC registered products distributed by Directed Services LLC."" disclosure should be displayed at the end of the page."
DC_16,Footer message,To verify footer message in PF page of Tax Forms is present which is venerable owned and serviced by venerable_Fixed Annuity products_VIAC legal entity type_MIS Code_0T_GG_RP_FX_FF_SI,"""Annuities issued by Venerable Insurance and Annuity Company “VIAC” (Des Moines, IA).  VIAC registered products distributed by Directed Services LLC."" disclosure should be displayed at the end of the page."
DC_17,Footer message,To verify footer message in PF page of Confirms and Correspondence is present which is venerable owned and serviced by venerable_Fixed Annuity products_VIAC legal entity type_MIS Code_0T_GG_RP_FX_FF_SI,"""Annuities issued by Venerable Insurance and Annuity Company “VIAC” (Des Moines, IA).  VIAC registered products distributed by Directed Services LLC."" disclosure should be displayed at the end of the page."
DC_2,Footer message,To verify footer message in Account Values page is present which is venerable owned and serviced by venerable_Fixed Annuity products_VIAC legal entity type_MIS Code_0T_GG_RP_FX_FF_SI,"""Annuities issued by Venerable Insurance and Annuity Company “VIAC” (Des Moines, IA).  VIAC registered products distributed by Directed Services LLC."" disclosure should be displayed at the end of the page."
DC_20,Footer message,To verify footer message in the main page is not present except Account Summary and Account Values page which is venerable owned and serviced by voya_Fixed Annuity products_SLD legal entity type_MIS Code_DG_RG_LA,"""Annuities issued by Security Life of Denver Insurance Company (Denver, CO). Registered annuities distributed by Voya America Equities, Inc. Administrative services provided by Venerable Insurance and Annuity Company (Des Moines, IA)."" disclosure should be displayed at the end of the page for only Account Summary and Account Values main page."
DC_21,Footer message,To verify footer message in PF page (Where applicable) is present which is venerable owned and serviced by voya_Fixed Annuity products_SLD legal entity type_MIS Code_DG_RG_LA,"""Annuities issued by Security Life of Denver Insurance Company (Denver, CO). Registered annuities distributed by Voya America Equities, Inc. Administrative services provided by Venerable Insurance and Annuity Company (Des Moines, IA)."" disclosure should be displayed at the end of the page."
