SI NO,Functionality,Title,Step Description
MD_14,TC14_Delegate for Deactivated Agent_External login_Act as another user,,"if a delegate is registered under a certain Agent and later that agent is deactivated by CSR in internal portal, the delegate when logs in externally next time should not see the above agent in the Act as Another user dropdown."
MD_15,TC15_Add registered bdao as delegate to another bdao,,A registered bdao can not be assigned in a delegate role.
MD_16,TC16_Add agent as delegate to another BDAO,,A BDAO should be able to add another Agent as a delegate under him.
MD_17,TC17_Add existing delegate again to same agent,,"When agent or bdao adds a delegate that is already listed as a delegate under them, error should be thrown"
MD_18,TC18_Delete Delegate from Agent_Delegate should able to login,,"When a delegate is listed under a single agent or BDAO and is added under no other entity, deleting the delegate should remove him as a delegate to the respective agent but delegate should still be able to login normally."
MD_19,TC19_Delegate under Agent & BD_Different access provided,,"A delegate added under Agent(Compensation access provided) & BDAO(No Compensation access provided) should only have access to compensation card when logged in and acting as the Agent. When delegate is acting as the above BDAO, compensation card should be disabled and delegate should have no access to it."
MD_2,TC02_Agent_Add new delegate,,"By clicking on Add delegate, agent can add a entirely new user as delegate under it by providing FN,LN,Email and DoB of the same.This should trigger a registration email to the delegate's email provided and user can register himself in Venerable portal by following instructions in email.Until the user registers himself, delegate should be in Pending status in Agent's My profile(manage delegate), delegate look up(web admin tool)"
MD_20,TC20_Manage delegate table_actions,,"In the manage delegate table for any agent/bdao, following items should be displayed:"
MD_21,TC21_Manage delegate table_Action_External,,"If agent logs in externally and clicks on the 3 dots present under the Action column next to a particular delegate, agent should be able to either delete the delegate or resend Email using the Email action for the Pending delegates only. In both cases, it should reflect in the audit log for the Agent."
MD_22,TC22_Manage Delegate table_Action_Internal,,"If CSR logs into BDAO's profile through TIN/Username and goes to manage delegate table, both Delete and Email action should be disabled for the CSR. CSR should not have access to delete or resend email for the delegate."
MD_23,TC23_Manage Delegate table_Update Delegate access_External,,"If agent logs in externally and goes to manage delegate to update delegate access for each individual content(My Business/Compensation/Contracting), it should be able to either provide or revoke access for each delegate after which the Update Delegate Access button at the bottom of the table should become active selecting which, the changes should be saved. The same action should be captured in the agent's audit log."
MD_24,TC24_Manage delegate table_Update delegate access_Internal,,CSR should not be able to update delegate access for any agent or BDAO in the manage delegate table.
MD_25,TC25_Agent_Delete Delegate_External,,"Agent when logged in externally should be able to delete a delegate registered under it and it should no longer be reflected in the agent's Manage Delegate section. Audit log should capture the delete action by the agent. Also the delegate when logs in externally or through CSR, should not see the corresponding agent in the Act as another user dropdown on its dashboard."
MD_26,TC26_BDAO_Delete Delegate_Internal,,CSR when logs into a BDAO's profile through TIN or Username should not be able to delete registered delegates under it. The delete button should be disabled.
MD_3,TC03_Add existing delegate,,"In add delegate window, if the checkbox is clicked indicatiing the user to be added is already registered in Venerable, only LN and Venerable username info is required. The registered entity will automatically be added to the agent and no more registration should be required. An email will be triggered to delegate's email address confirming the same."
MD_4,TC04_Add new delegate_Access,,"Agent can provide various access to the delegate from below three options- My Business, Compensation, Contracting. Based on the access provided, the delegate should only be able to access those cards in its dashboard when it logs in externally. Same accesses should be reflecting accordingly in agent's manage delegate,Delegate look up and delegate's dashboard."
MD_5,TC05_Add existing delegate_Access provided,,"Agent can provide various access to the delegate which is already a registered entity from below three options- My Business, Compensation, Contracting. Based on the access provided, the delegate should only be able to access those cards in its dashboard when it logs in externally. Same accesses should be reflecting accordingly in agent's manage delegate,Delegate look up and delegate's dashboard."
MD_6,TC06_New Delegate log in,,"When new delegate logs in externally, it should see a dropdown box in the top right of the page ""Act as another user"" and accordingly it can change to any agent/bdao to perform any action on venerable portal. The four cards- my business (Cust accounts and BOB),  contracting & compensation should be accessible according to which agent/bdao has provided which particular access to the delegate."
MD_7,TC07_Existing delegate login,,"When delegate logs in externally which is also a registered entity by itself, it should see a dropdown box in the top right of the page ""Act as another user"" and accordingly it can change to any agent/bdao to perform any action on venerable portal. The 4 cards- Cust accounts, BOB, contracting & compensation should be accessible according to which agent/bdao has provided which particular access to the entity."
MD_8,TC08_Manage delegate_Update delegate access,,"In manage delegate section, UPDATE DELEGATE ACCESS button present at the bottom of the page should be initialy disabled and should only be enable when agent/bdao changes any access for any of its delegate. After changing the delegate's access, the same changes should be captured in audit inquiry tool for the agent/bdao and the information should be captured in delegate's dashboard(which card is enabled or diabled), agent/bdao's manage delegate section, delegate lookup."
MD_9,TC09_Manage delegate_Update delegate access_CSR,,CSR should not be able to change any access for the delegates on behalf of any agent or BDAO. A message conveying the same should be displayed at the top of manage delegate section of the said agent/bdao when CSR goes to their dashboard view.
RC_1,registration/FU/FP,"TC01_portal_Customer register_Natural customer_Garwin contract_verify able to register with Garwin contractid,owner dob and owner SSN","Natural customer should be able to register using garwin contract,owner TIN and DOB"
RC_10,registration/FU/FP,TC010_portal_Customer _Natural customer_Forgot Password_verify able to do forgot Password with username and DOB,Natural customer should be able to do FP using username and DOB
RC_11,registration/FU/FP,TC011_portal_Customer _Non Natural customer_Trust_Forgot Password_verify able to do forgot Password with username and DOB,Non Natural Trust customer should be able to do FP using username and annuitant DOB
RC_12,registration/FU/FP,TC012_portal_Customer _Non Natural customer_Custodial_Forgot Password_verify able to do forgot Password with username and DOB,Non Natural Custodial customer should be able to do FP using username and annuitant DOB
RC_13,registration/FU/FP,TC013_portal _Non Natural customer_Custodial_Register_verify not able to  register with Custodial SSN and annuitant DOB,
RC_14,registration/FU/FP,"401k, PSP and Corp contract can register with owner TIN and annuitant DOB (similar to Trust)",Non Natural Custodial customer should not be able to register with custodial SSN and Annuitant DOB
RC_2,registration/FU/FP,"TC02_portal_Customer register_Natural customer_Lifecad contract_verify able to register with Lifecad contractid,owner dob and owner SSN","Natural customer should be able to register using Lifecad contract,owner TIN and DOB"
RC_3,registration/FU/FP,"TC03_portal_Customer register_Non Natural customer_Trust_verify able to register with contractid,annuitant dob and Trust SSN_LifeCAD",Non natural Trust customer should be able to register with Trust TIN and annuitant DOB
RC_4,registration/FU/FP,"TC04_portal_Customer register_Non Natural customer_Custodial_verify able to register with contractid,annuitant dob and annuitant SSN_garwin",Non natural Custodial customer should be able to register with Annuitant TIN and annuitant DOB
RC_5,registration/FU/FP,"TC05_portal_Customer register_Non Natural customer_Trust_Garwin contract_verify able to register with Garwin contractid,annuitant dob and Trust SSN",Non natural Trust customer should be able to register using Garwin contract with Trust TIN and annuitant DOB
RC_6,registration/FU/FP,"TC06_portal_Customer register_Non Natural customer_Custodial_Lifecad contract_verify able to register with Lifecad contractid,annuitant dob and annuitant SSN_LifeCAD",Non natural Custodial customer should be able to register using Lifecad contract with Annuitant TIN and annuitant DOB
RC_7,registration/FU/FP,TC07_portal_Customer _Natural customer_Forgot username_verify able to do forgot username with email id and owner SSN,natural customer should be able to do FU with email id and owner SSN
RC_8,registration/FU/FP,TC08_portal_Customer _Non Natural customer_Trust_Forgot username_verify able to do forgot username with email id and Trust(owner) SSN,Non natural Trust customer should be able to do FU with email id and Trust SSN
RC_9,registration/FU/FP,TC09_portal_Customer _Non Natural customer_Custodial_Forgot username_verify able to do forgot username with email id and Annuitant SSN,Non natural Custodial customer should be able to do FU with email id and Annuitant SSN
RMD_1,RMD,TC01_Ext Cust_RMD_printer friendly_mailing add_disclosure,Verify Mailing address and disclosure present in Printer Friendly version of RMD page through External Customer login.
RMD_10,RMD,TC10_Int Cust_RMD_Year End Accnt Value,Verify Year End Account value present in RMD page through Internal Customer Login.
RMD_11,RMD,TC11_Ext Agent_RMD_Year End Accnt Value,Verify Year End Account value present in RMD page through External Agent Login.
RMD_12,RMD,TC12_Int BD_RMD_Year End Accnt Value,Verify Year End Account value present in RMD page through Internal BD Login.
RMD_13,RMD,TC13_Ext Cust_RMD_Present Value of Additional Benefits,Verify Present Value of Additional Benefits field in RMD page through External Customer Login
RMD_14,RMD,TC14_Int Cust_RMD_Present Value of Additional Benefits,Verify Present Value of Additional Benefits field in RMD page through Internal Customer Login
RMD_15,RMD,TC15_Int Agent_RMD_Present Value of Additional Benefits,Verify Present Value of Additional Benefits field in RMD page through Internal Agent Login
RMD_16,RMD,TC16_Ext BD_RMD_Present Value of Additional Benefits,Verify Present Value of Additional Benefits field in RMD page through External BD Login
RMD_17,RMD,TC17_Ext Cust_RMD_RMD Base Value,Verify RMD Base Value field in RMD page through External Customer Login
RMD_18,RMD,TC18_Int Cust_RMD_RMD Base Value,Verify RMD Base Value field in RMD page through Internal Customer Login
RMD_19,RMD,TC19_Ext Cust_RMD_Total RMD for the Current Year,Verify Total RMD for Current Year field through External Customer Login.
RMD_2,RMD,TC02_Int Cust_RMD_printer friendly_mailing add_disclosure.,Verify Mailing address and disclosure present in Printer Friendly version of RMD page through External Internal login.
RMD_20,RMD,TC20_Int Cust_RMD_Total RMD for the Current Year,Verify Total RMD for Current Year field through Internal Customer Login.
RMD_21,RMD,TC21_Int Cust_verify_footnote_for_contract_with_Auto_withdrawal,Verify the footnote present in the RMD page for a contract having Automatic Withdrawal through Internal Customer login.
RMD_22,RMD,TC22_Ext Cust_verify_footnote_for_contract_with_IRA_withdrawal,Verify the footnote present in the RMD page for a contract having IRA Withdrawal through External Customer login.
RMD_23,RMD,TC23_Verify footnote for LifeCAD contracts with both withdrawal types - IRA withdrawal footnote should show,Verify footnote for LifeCAD contracts with both withdrawal types - IRA withdrawal message should come.
RMD_24,RMD,TC24_Verify the dropdown for the different years and validate values match and the verbiage updates according to the year selected,Verify the dropdown for the different years and validate values match and the verbiage updates according to the year selected
RMD_25,RMD,TC25_Verify error message for contract without RMD,Verify error message for contract without RMD
RMD_3,RMD,TC03_Ext Agent_RMD_printer friendly_mailing add_disclosure,Verify Mailing address and disclosure present in Printer Friendly version of RMD page through External Agent login.
RMD_4,RMD,TC04_Int Agent_RMD_printer friendly_mailing add_disclosure,Verify Mailing address and disclosure present in Printer Friendly version of RMD page through Internal Agent login.
RMD_5,RMD,TC05_Ext BD_RMD_printer friendly_mailing add_disclosure,Verify Mailing address and disclosure present in Printer Friendly version of RMD page through External BD login.
RMD_6,RMD,TC06_Int BD_RMD_printer friendly_mailing add_disclosure,Verify Mailing address and disclosure present in Printer Friendly version of RMD page through Internal BD login.
RMD_7,RMD,TC07_Ext Cust_RMD_As of field,Verify As of field date present in RMD page through External Customet Login.
RMD_8,RMD,TC08_Int Cust_RMD_As of field,Verify As of field date present in RMD page through Internal Customet Login.
RMD_9,RMD,TC09_Ext Cust_RMD_Year End Accnt Value,Verify Year End Account value present in RMD page through External Customer Login.
ROR_1,RoR,"TC001_To verify color the Rolling 3,6,9, 12 month view","User to Verify RoR graph in the Rolling 3,6,9, 12 month view"
ROR_10,RoR,TC010_Verify ROR page for a ZS contract_customize time period combination_PF,Verify ROR page for a ZS contract_customize time period option and select Print button
ROR_11,RoR,TC011_Verify ROR page for a ZS contract_customize time period combination_footnotes,Verify ROR page for a ZS contract_customize time period option and validate footnotes
ROR_12,RoR,TC012_Verify ROR page for a ZA contract_Year to date combination_PF,Verify ROR page for a ZA contract_Year to date option and  validate printer friendly page.
ROR_13,RoR,TC013_Verify ROR page for a PA contract_last 3 month combination_field values,Verify ROR page for a PA contract_last 3 month option and Validate field values
ROR_14,RoR,TC014_Verify ROR page for a PA contract_last 3 month combination_balance history,Verify ROR page for a PA contract_last 3 month option and  validate balance history section for different years.
ROR_15,RoR,TC015_Verify ROR page for a PA contract_last 3 month combination_footnotes,Verify ROR page for a PA contract_last 3 month option and validate footnotes.
ROR_16,RoR,TC016_Verify ROR page for a PA contract_customize time period combination_PF,Verify ROR page for a PA contract_customize time period option and validate printer friendly page.
ROR_17,RoR,TC018_Verify ROR page for a LifeCAD contract_ROR page not displayed.,Verify ROR page should not be diplayed for a LifeCAD contract.
ROR_18,RoR,TC019_Verify ROR page for a QA contract_ROR page not displayed.,Verify ROR page should not be diplayed for a QA contract.
ROR_19,RoR,TC020_Verify ROR page for a JA contract_ROR page not displayed.,Verify ROR page should not be diplayed for a JA contract.
ROR_2,RoR,TC002_To verify ROR value_YTD_With Contribution and Distribution Values More than 0_ZS,verify ROR value_YTD With Contribution and Distribution Values More than 0_ZS
ROR_20,RoR,TC021_Verify ROR Value for a LifeCAD contract_Account Summary and Account Value page,Verify ROR value for a LifeCAd contract in Account Summary and Account Value page.
ROR_21,RoR,TC022_Verify ROR Value for a QA contract_Account Summary and Account Value page,Verify ROR value for a QA contract in Account Summary and Account Value page.
ROR_22,RoR,TC023_Verify ROR Value for a JA contract_Account Summary and Account Value page,Verify ROR value for a JA contract in Account Summary and Account Value page.
ROR_23,RoR,TC024_Verify ROR Value for a Stretch contract,Verify ROR Value for a Stretch contract
ROR_24,RoR,TC025_Verify ROR Value for a Customize short date range ZS,Verify ROR Value for a Customize short date range ZS
ROR_25,RoR,TC026_Verify ROR Value for a Customize Long date range ZS,Verify ROR Value for a Customize Long date range ZS
ROR_26,RoR,TC027_Verify ROR Value for a Customize Long date range PA,Verify ROR Value for a Customize Long date range PA
ROR_27,RoR,TC028_Verify ROR Value for a Customize short date range PA,Verify ROR Value for a Customize short date range PA
ROR_28,RoR,TC029_Verify footnote for ZS vs PA vs ZA_ROR page,Verify footnote differences for ZS vs. PA vs ZA  (which is different ? Please check and document)
ROR_29,RoR,TC030_Verify ROR Value  in PF,Verfy Printer friendly page should be same as ROR web page.
ROR_3,RoR,TC003_To verify ROR value_Last Month_With Contribution and Distribution Values More than 0_ZS,verify ROR value_Last Month_With Contribution and Distribution Values More than 0 for ZS contract
ROR_4,RoR,TC004_To verify ROR value_Rolling 12 Months_With Contribution and Distribution Values More than 0_ZS,verify ROR value_Rolling 12 Months With Contribution and Distribution Values More than 0 ZS contract.
ROR_5,RoR,TC005_Verify ROR page for a ZS contract_Year to date combination_balance history,Verify ROR page for a ZS contract_Year to date option and  validate balance history section for different years.
ROR_6,RoR,TC006_Verify ROR page for a ZS contract_Year to date combination_footnotes,Verify ROR page for a ZS contract_Year to date option and  validate footnotes
ROR_7,RoR,TC007_Verify ROR page for a ZS contract_last monthcombination_field values,Verify ROR page for a ZS contract_last monthption and  validate other field values
ROR_8,RoR,TC008_Verify ROR page for a ZS contract_last 3 month combination_owner name,Verify ROR page for a ZS contract_last 3 month option and validate owner name
ROR_9,RoR,TC009_Verify ROR page for a ZS contract_last 3 month combination_footnotes,Verify ROR page for a ZS contract_last 3 month option and validate footnotes
WAT_1,TC01_WAT_User Lookup_SSN_Agent,,CSR selects SSN from dropdown and enters 9 digit SSN of the user-only one user should be retrieved
WAT_10,TC10_WAT_User Lookup_Customer_Audit inquiry,,CSR searches an Customer in user look up and goes to Audit inquiry in action dropdown-CSR should be able to view audit log of customer
WAT_11,TC11_WAT_User Lookup_Customer_Lock IVR,,CSR searches an Customer in user look up and goes to Lock IVR-CSR should be able to lock the IVR option for the customer.The action should be captured in Audit Log.
WAT_12,TC12_WAT_User Lookup_Delegate_Deactivate user,,CSR searches a delegate in user look up and goes to Deactivate user in action dropdown-CSR should be able to Deactivate the user and user should not be able to login in external portal.The action should be captured in Audit Log.
WAT_13,TC13_WAT_User Lookup_Search result action_CSR with read only access,,"CSR looks up an user(not customer) and opens 'Action' dropdown-Dashboard view,User details,Update Email/Phone, Update code delivery Method,Audit Inquiry. For customer,one extra option should be available- Update Delivery preferences"
WAT_14,TC14_WAT_Delegate Lookup_Agent,,CSR selects Financial Representative from the dropdown and enters SSN of the agent in the entry field and should be able to retrieve all the delegates registered under that agent
WAT_15,TC15_WAT_Delegate Lookup_Agent_username,,CSR selects Financial Representative from the dropdown and enters Username of the agent in the entry field-error should be thrown to enter a valid SSN
WAT_16,TC16_WAT_Delegate Lookup_BDAO,,CSR selects BDAO from the dropdown and enters SSN of the BDAO in the entry field and should be able to retrieve all the delegates registered under that BDAO
WAT_17,TC17_WAT_Delegate Lookup_BDAO_result information,,"CSR selects BDAO from the dropdown and enters SSN of the BDAO in the entry field and should be able to retrieve all the delegates registered under that BDAO. The field should include Name,Username,SSN,Email and status. The delegates table should contain Username,FN,LN,Email,Registered status,Status, access preference."
WAT_18,TC18_WAT_User lookup_Agent&Customer Same SSN,,"CSR selects SSN from the dropdown and enters 9 digit SSN. If that SSN belongs to an entity who is registered in portal both as agent & customer, both results should be retrieved in the result window."
WAT_19,TC19_WAT_CSR with read-only access,,"When a CSR with read only access looks up any user, the action dropdown should contain following options-Dashboard View, User Details,Update Email/Phone, Update Delivery preferences,Audit Inquiry."
WAT_2,TC02_WAT_User Lookup_Username_BDAO,,CSR selects Username from dropdown and enters Username of the user-Only one search result should be retrieved
WAT_20,TC20_WAT_CSR with read-only access_no update access,,"When a CSR with read only access looks up any user,he should not see following options as opposed to a Super user- Update Code delivery method,Lock IVR,Deactivate User"
WAT_21,TC21_WAT_Email notification to user,,
WAT_22,TC22_WAT_Update delivery preference_Customer,,"When CSR super user changes delivery preference for a customer from email to US mail, an email notification is triggered to the user's profile email.The same action should be captured by the audit log for all kinds of documents in separate individual rows- Statements,Regulatory Docs,Confirmation,All documents,Tax documents depending on which radio button was selected."
WAT_23,TC23_WAT_Update delivery preference_Customer_US mail to Email,,CSR superuser should not be able to change the delivery preference for a customer from US mail to Email but he can change it to US mail from Email notification.
WAT_3,TC03_WAT_User Lookup_Email_Customer,,CSR selects Email from dropdown and enters Email address of the user-All the  information associated with the email address should show up.
WAT_4,TC04_WAT_User Lookup_Username_Delegate,,CSR selects Username from dropdown and enters Username of the user-Only one search result should be retrieved
WAT_5,TC05_WAT_User Lookup_Customer_Fields,,"Verify the list of fields displayed for each search result-Action,FN,LN,Usertype,Username,SSN,Email,Status,DOB"
WAT_6,TC06_WAT_User Lookup_Multiple BDAO in single BD TIN,,CSR selects SSN/TIN from dropdown and enters BD TIN associated with multiple BDAO-Multiple rows of BDAO should be retrieved.
WAT_7,TC07_WAT_User Lookup_Search result action_CSR Super User,,"CSR looks up an user and opens 'Action' dropdown-Dashboard view,User details,Update Email/Phone, Update code delivery Method, Audit Inquiry, Lock IVR,Deactivate User"
WAT_8,TC08_WAT_User Lookup_Agent_Update Email/Phone,,CSR searches an agent in user look up and goes to Update profile email/phone in action dropdown-CSR should be able to change profile email and phone of agent and separate emails should be triggered to user for each action.The action should be captured in Audit Log.
WAT_9,TC09_WAT_User Lookup_BDAO_Update code delivery method,,CSR searches an BDAO in user look up and goes to Update Code Delivery method in action dropdown-CSR should be able to change delivery method(email or phone) of BDAO and an email should be triggered to user in the profile email provided.The action should be captured in Audit Log.
